 PRN, GPS Software Time, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
31,463248.9878,38,0,-399039.9755,33,27,34,0.48,18441.32771,3.24E-04,-1.19E-12,0.0132484,369.3861898,131.5164874,-7.692916613,NLOS
32,463249.9878,55,0,-583758.9227,34,34,34,-0.959,18377.55778,-2.29E-04,8.89E-12,0,192.3394827,79.54208352,636.6446623,NLOS
3,463249.9878,52,0,-456259.5042,39,38,39,-0.978,17932.82374,1.94E-04,2.19E-11,0,253.8623672,107.7903063,-36.14822305,LOS
4,463249.9878,56,0,-516348.8305,49,48,49,-0.943,18641.27864,-6.77E-06,6.84E-13,0,454.9410933,99.67573033,-22.89114728,LOS
70,463249.9878,12,0,-475984.7445,36,35,37,-0.775,17408.08905,1.28E-04,4.55E-12,0,778.2194679,77.96670478,65.64035514,LOS
9,463249.9878,14,0,-538889.3035,32,31,33,-1.402,17656.49655,-7.79E-05,-1.08E-11,0,562.5451602,52.17035836,1196.341091,NLOS
73,463249.9878,22,0,-479146.2833,29,28,30,-1.238,18558.20501,1.17E-04,1.82E-12,0,371.8956736,88.16372109,-57.99066612,NLOS
74,463249.9878,44,0,-503345.6833,42,41,42,-1.074,18593.08226,3.67E-05,1.82E-12,0,406.7729278,76.20853588,12.36504956,NLOS
11,463249.9878,54,0,-681015.3801,39,38,39,-0.764,18636.16183,-5.56E-04,-2.39E-12,0,449.8211271,72.37460075,-13.50321849,LOS
31,463249.9878,38,0,-417251.6548,25,24,33,1.129,18442.02344,3.24E-04,-1.19E-12,0,274.2627268,-95.12346307,17.67616007,NLOS
32,463251.9862,55,0,-105779.9659,35,34,35,-0.053,18378.37904,-2.29E-04,8.89E-12,0,180.8770593,-42.36999333,677.0672139,NLOS
1,463251.9862,79,0,-39139.85978,49,48,49,0.135,18233.49187,-9.34E-06,1.10E-12,0,35.79503538,-41.93581217,16.51128894,LOS
3,463251.9862,52,0,21707.06597,38,37,39,0.109,17933.63614,1.94E-04,2.19E-11,0,264.6135913,-42.0784955,16.6687829,LOS
4,463251.9862,56,0,-38322.47454,49,48,49,0.108,18642.21447,-6.77E-06,6.84E-13,0,444.5048729,-41.95480592,-29.8725859,LOS
70,463251.9862,12,0,2040.324674,36,35,36,0.09,17408.43649,1.28E-04,4.55E-12,0,789.2641431,-42.067735,59.94799038,LOS
9,463251.9862,14,0,-60891.65714,32,31,32,0.512,17657.15938,-7.79E-05,-1.08E-11,0,535.788795,-31.53758264,1218.062284,NLOS
73,463251.9862,22,0,-1172.191095,29,28,29,0.719,18586.25869,1.17E-04,1.82E-12,0,388.5572422,20.6820788,-12.70767683,NLOS
74,463251.9862,44,0,-25342.07358,42,41,42,0.274,18596.56351,3.67E-05,1.82E-12,0,398.8620639,-39.61322322,28.130531,NLOS
11,463251.9862,54,0,-202991.1917,41,40,40,0.051,18637.08952,-5.56E-04,-2.39E-12,0,439.4031651,-41.96865374,-18.31901083,LOS
31,463251.9862,38,0,60780.83871,25,24,25,0.127,18441.61215,3.24E-04,-1.19E-12,0,215.3675093,-43.32621879,4.556027751,NLOS
32,463252.9863,55,0,-123973.1649,35,34,35,0.117,18378.40061,-2.29E-04,8.89E-12,0,182.1608554,1.283796109,674.065829,NLOS
1,463252.9863,79,0,-57336.12523,49,48,49,0.017,18233.5879,-9.34E-06,1.10E-12,0,37.39114536,1.596109979,16.57404098,LOS
3,463252.9863,52,0,3508.668654,38,37,38,0.065,17933.64596,1.94E-04,2.19E-11,0,262.9171316,1.696459666,18.86963955,LOS
4,463252.9863,56,0,-56517.6006,49,48,49,0.049,18642.28622,-6.77E-06,6.84E-13,0,446.0893447,1.584471729,-30.94935051,LOS
70,463252.9863,12,0,-16157.79515,36,35,36,0.074,17406.4912,1.28E-04,4.55E-12,0,789.7104627,-0.446319655,61.86614899,LOS
9,463252.9863,14,0,-79095.34637,31,31,32,-0.291,17657.16177,-7.79E-05,-1.08E-11,0,541.7084633,-5.919668347,1225.545236,NLOS
73,463252.9863,22,0,-19379.1415,29,28,29,-1.111,18574.09295,1.17E-04,1.82E-12,0,377.8904623,-10.66677988,-1.959753409,NLOS
74,463252.9863,44,0,-43545.40128,42,41,42,0.154,18597.0888,3.67E-05,1.82E-12,0,400.8863157,2.024251733,35.25574372,NLOS
11,463252.9863,54,0,-221189.1973,41,40,41,0.129,18637.15713,-5.56E-04,-2.39E-12,0,440.9920377,1.588872619,-16.5171115,LOS
31,463252.9863,38,0,42583.63243,33,25,25,0.65,18441.90661,3.24E-04,-1.19E-12,0,250.1696502,34.80214088,5.558916457,NLOS
32,463253.9863,55,0,-142170.2296,36,35,35,-0.092,18378.33568,-2.29E-04,8.89E-12,0.0019907,181.8608523,-0.300003111,674.9301998,NLOS
1,463253.9863,79,0,-75532.56766,49,48,49,0.053,18233.61475,-9.34E-06,1.10E-12,9.43E-04,37.41056409,0.019418724,16.81377439,LOS
3,463253.9863,52,0,-14689.64283,38,37,38,-0.149,17933.58021,1.94E-04,2.19E-11,-7.65E-04,262.8306914,0.086440265,20.98466087,LOS
4,463253.9863,56,0,-74713.97911,49,48,49,-0.022,18642.28195,-6.77E-06,6.84E-13,0.0037889,446.0956652,0.006320577,-30.77367322,LOS
70,463253.9863,12,0,-34356.89919,36,35,36,-0.221,17406.89288,1.28E-04,4.55E-12,-0.012069,789.3087827,0.401680037,64.76851695,LOS
9,463253.9863,14,0,-97290.98384,31,30,32,-0.144,17657.12437,-7.79E-05,-1.08E-11,-0.005035,544.4098171,-2.701353777,1224.97643,NLOS
73,463253.9863,22,0,-37568.69558,29,28,29,0.746,18550.83119,1.17E-04,1.82E-12,0.006515,354.6287076,-23.26175474,-8.608166914,NLOS
74,463253.9863,44,0,-61744.26818,42,41,42,-0.209,18596.08344,3.67E-05,1.82E-12,0.0044074,399.8809513,-1.005364418,37.9201603,NLOS
11,463253.9863,54,0,-239386.1318,42,41,41,-0.055,18637.15441,-5.56E-04,-2.39E-12,0.0037928,440.9937719,0.001734186,-15.78634647,LOS
31,463253.9863,38,0,24382.71603,33,32,33,-0.15,18441.95715,3.24E-04,-1.19E-12,0.0029268,248.528094,-1.641556181,10.2719338,NLOS
32,463254.9864,55,0,-160367.3903,36,35,36,-0.167,18378.27226,-2.29E-04,8.89E-12,0,179.3937657,-2.46708665,673.7919664,NLOS
1,463254.9864,79,0,-93731.34426,49,48,49,0.022,18233.63806,-9.34E-06,1.10E-12,0,35.3342095,-2.076354589,17.28912631,LOS
3,463254.9864,52,0,-32889.58699,38,37,38,-0.025,17933.50831,1.94E-04,2.19E-11,0,264.8090009,-1.978309497,22.63381679,LOS
70,463254.9864,12,0,-52555.25813,36,35,36,0.041,17404.98546,1.28E-04,4.55E-12,0,793.3147504,-4.00596768,64.82724131,LOS
9,463254.9864,14,0,-115495.1791,31,30,31,0.107,17657.06591,-7.79E-05,-1.08E-11,0,540.4777892,3.932027929,1230.866843,NLOS
73,463254.9864,22,0,-55761.82682,29,28,29,-0.627,18555.58041,1.17E-04,1.82E-12,0,357.2793805,2.650672939,-13.77795856,NLOS
74,463254.9864,44,0,-79945.87176,42,41,42,0.211,18596.00414,3.67E-05,1.82E-12,0,397.7031061,-2.177845113,41.22270288,NLOS
11,463254.9864,54,0,-257585.7683,42,41,42,0.004,18637.14914,-5.56E-04,-2.39E-12,0,438.9029617,-2.09081015,-14.45212749,LOS
31,463254.9864,38,0,6182.081999,34,33,33,0.213,18441.98857,3.24E-04,-1.19E-12,0,246.6099949,-1.918099128,12.60402842,NLOS
32,463255.9865,55,0,-178565.7144,36,35,36,0.097,18378.40761,-2.29E-04,8.89E-12,0,177.4101311,-1.983634531,671.7186628,NLOS
1,463255.9865,79,0,-111932.3125,49,48,49,0.211,18233.86014,-9.34E-06,1.10E-12,0,33.45700243,-1.877207071,17.85754124,LOS
3,463255.9865,52,0,-51091.49925,38,37,38,0.016,17933.62479,1.94E-04,2.19E-11,0,266.7940379,-1.985036995,24.15251573,LOS
4,463255.9865,56,0,-111112.4045,49,48,49,0.131,18642.46321,-6.77E-06,6.84E-13,0,442.087451,-1.906297632,-31.04956473,LOS
70,463255.9865,12,0,-70757.25642,36,35,36,0.283,17408.53404,1.28E-04,4.55E-12,0,791.8647244,1.450025905,66.42677253,LOS
9,463255.9865,14,0,-133704.2781,31,30,31,-0.408,17657.18108,-7.79E-05,-1.08E-11,0,539.0710168,1.406772371,1239.562526,NLOS
73,463255.9865,22,0,-73980.83195,29,28,29,0.457,18581.6429,1.17E-04,1.82E-12,0,381.2433212,23.96394061,4.827594917,NLOS
74,463255.9865,44,0,-98149.94399,42,41,42,0.338,18596.51383,3.67E-05,1.82E-12,0,396.1142516,-1.588854585,44.8953619,NLOS
11,463255.9865,54,0,-275787.3098,43,42,42,0.142,18637.33742,-5.56E-04,-2.39E-12,0,436.9743061,-1.928655639,-13.3115051,LOS
31,463255.9865,38,0,-12017.37578,34,33,34,0.434,18442.21168,3.24E-04,-1.19E-12,0,243.0669856,-3.543009266,11.66132914,NLOS
32,463256.9865,55,0,-196764.7447,36,35,36,-0.055,18378.23616,-2.29E-04,8.89E-12,0,178.2681304,0.857999273,671.2508328,NLOS
1,463256.9865,79,0,-130131.3278,49,48,49,0.001,18233.75088,-9.34E-06,1.10E-12,0,34.24302661,0.786024187,17.37243869,LOS
3,463256.9865,52,0,-69291.4795,38,37,38,-0.057,17933.45316,1.94E-04,2.19E-11,0,266.1333746,0.660663288,24.63858727,LOS
4,463256.9865,56,0,-129311.4144,49,48,49,0.049,18642.34603,-6.77E-06,6.84E-13,0,442.8640726,0.776621573,-31.54024632,LOS
70,463256.9865,12,0,-88957.14404,35,34,36,0.178,17406.32985,1.28E-04,4.55E-12,0,793.1695309,-1.304806449,66.81500969,LOS
9,463256.9865,14,0,-151906.4575,31,30,31,0.322,17657.04449,-7.79E-05,-1.08E-11,0,541.6056537,-2.534636866,1242.237871,NLOS
73,463256.9865,22,0,-92220.74259,29,28,29,0.147,18599.98264,1.17E-04,1.82E-12,0,400.4824385,19.23911729,45.23802964,NLOS
74,463256.9865,44,0,-116350.5946,42,41,42,0.011,18596.42851,3.67E-05,1.82E-12,0,396.9283091,0.814057544,46.04574714,NLOS
11,463256.9865,54,0,-293986.6088,43,42,43,0.036,18637.21808,-5.56E-04,-2.39E-12,0,437.7586154,0.784309302,-13.51392282,LOS
31,463256.9865,38,0,-30217.18391,34,34,34,-0.217,18442.1017,3.24E-04,-1.19E-12,0,242.5351849,-0.531800702,11.96835339,NLOS
32,463257.9866,55,0,-214964.4903,36,35,36,-0.031,18378.39677,-2.29E-04,8.89E-12,0,178.6770602,0.408929836,671.7982162,NLOS
1,463257.9866,79,0,-148330.857,49,48,49,-0.015,18234.02265,-9.34E-06,1.10E-12,0,34.82016166,0.577135041,17.70097743,LOS
3,463257.9866,52,0,-87491.45791,38,37,38,-0.07,17933.61233,1.94E-04,2.19E-11,0,265.7455772,0.387797378,25.42261184,LOS
